Ref(s),Qty per board,Qty for 10 boards,Buy qty (incl. spares),Description,Package,Source,Manufacturer PN,Manufacturer,Distributor PN,Unit price USD,Ext price USD,Notes
Q1,1,10,12,Dual NPN 45V 100mA,SOT-363,Digi-Key,BC847BS-TP,Micro Commercial Components,BC847BS-TPCT-ND,0.2380,2.856,"Cheaper DK Marketplace listings exist (Slkormicro ~$0.14, GOODWORK ~$0.02) but Marketplace ships separately - not worth it for ~$1."
"R1,R8",2,20,25,10k 1% 1/10W,0603,Digi-Key,RC0603FR-0710KL,YAGEO,311-10.0KHRCT-ND,0.0188,0.470,qty-25 price tier. 723k stock.
"R2A,R2B",2,20,25,510R 1% 1/4W,1206,Digi-Key,RC1206FR-07510RL,YAGEO,311-510FRCT-ND,0.0360,0.900,"1206 held - the series pair is the LED dropper off the 20V rail (~90mW each). qty-25 tier. 62,523 stock."
"R3,R4,R5",3,30,35,100k 1% 1/10W,0603,Digi-Key,RC0603FR-07100KL,YAGEO,311-100KHRCT-ND,0.0188,0.658,qty-25 tier. 3.3M stock.
R6,1,10,15,6.8k 1% 1/10W,0603,Digi-Key,RC0603FR-076K8L,YAGEO,311-6.80KHRCT-ND,0.0250,0.375,156k stock.
R7,1,10,15,4.7k 1% 1/10W,0603,Digi-Key,RC0603FR-074K7L,YAGEO,311-4.70KHRCT-ND,0.0250,0.375,1.65M stock.
R9,1,10,15,47k 1% 1/10W,0603,Digi-Key,RC0603FR-0747KL,YAGEO,311-47.0KHRCT-ND,0.0250,0.375,1.17M stock.
R10,1,10,15,3.3k 1% 1/4W,1206,Digi-Key,RC1206FR-073K3L,YAGEO,311-3.30KFRCT-ND,0.0360,0.540,"qty-25 tier. 14,302 stock."
R12,1,10,15,1.5k 1% 1/10W,0603,Digi-Key,RC0603FR-071K5L,YAGEO,311-1.50KHCT-ND,0.0270,0.405,DK returned 311-1.50KHCT-ND for this MPN (the previous sheet's 'corrected' 311-1.50KHRCT-ND may also resolve). ORDER BY MPN. 1.17M stock.
R13,1,10,15,4.7k 1% 1/8W,0805,Digi-Key,RC0805FR-074K7L,YAGEO,311-4.70KCRCT-ND,0.0340,0.510,"0805 - do NOT downsize to 0603, the land pattern is 0805. 261k stock."
R14,1,10,15,0 ohm jumper 1/10W,0603,Digi-Key,RC0603FR-070RL,YAGEO,311-0.0HRCT-ND,0.0110,0.165,905k stock. Cheaper than the previous sheet's Panasonic ERJ-3GEY0R00V.
F1,1,10,12,PPTC 350mA hold / 750mA trip 30V,1206,Digi-Key,MF-NSHT035KX-2,Bourns,MF-NSHT035KX-2CT-ND,0.3910,4.692,"*** SPEC CHANGE - READ THIS *** The board was designed around a 1A-hold @30V 1206 PPTC (BHFUSE BSMD1206-100-30V, LCSC only). That rating does not exist outside LCSC: Littelfuse's 30V 1206L line tops out at 0.35A, Bourns' at 0.35A, Bel's 1A part is 6V-rated, and even the Amazon generic assortments pair 1.1A with 8V / 0.35A with 30V. It is package physics, not a stocking gap. This part fits the 1206 land but LIMITS THE AUX HEADER (J3) TO ~0.35A, so the 'AUX 1A MAX' silkscreen over-promises. Cheaper than the Littelfuse 1206L035/30 ($0.562). ALTERNATIVES: leave F1 unpopulated, or bridge it, if you want the full 1A on aux and accept no aux protection. 15,625 stock."
U1,1,10,10,USB PD sink controller,ESSOP-10,Amazon,CH224K,WCH (Jiangsu Qin Heng),B0BQQZSCYC (10-pack),1.0000,10.000,"PRICE IS AN ESTIMATE - Amazon blocks automated price checks, confirm on the listing. NOT CARRIED BY DIGI-KEY OR MOUSER (WCH has no US distributor); every DK/Mouser PD sink is a different pinout and package = a board respin. A 10-pack is exactly 10 boards with no spares - consider two packs. VERIFY ON ARRIVAL: marking reads CH224K and the package is ESSOP-10 (10 pins, ~3mm body, thermal pad), not SOP-10."
SW1,1,10,10,DIP switch 3-pos SPST SMD 2.54mm,SMD 6P L7.6 W6.0 LS9.3,Amazon,generic 3P SMD DIP (SHOU HAN 2.54-3P class),generic,"B0CLJD4MJN (10-pack, pick 3P/6-pin)",0.8000,8.000,"PRICE IS AN ESTIMATE - confirm on the listing. This generic Chinese SMD DIP is the exact class the board was laid out for, so it is a BETTER fit bet than Digi-Key's CTS 219-3MSTR (body 9.09mm vs this footprint's 7.6mm). MUST VERIFY BEFORE BUYING: (a) SMD/SMT gull-wing pads, NOT through-hole pins - several lookalike listings are THT; (b) 3 positions / 6 pins; (c) 2.54mm pitch; (d) body ~7.6mm long."

,,,,,,SUBTOTAL Amazon,,,,,18.00,
,,,,,,SUBTOTAL Digi-Key,,,,,52.17,
,,,,,,"GRAND TOTAL (parts only, no shipping/tax)",,,,,70.17,
,,,,,,PER BOARD (10 boards),,,,,7.02,
